OBJECTID,市区町村コード,施設名,住所,避難施設の種類,収容人数,緯度,経度
1,27103,下福島中学校,大阪府大阪市福島区玉川1-4-11,収容避難所、一時避難所,1000,34.688476,135.481831
2,27103,海老江西小学校,大阪府大阪市福島区海老江8-1-10,収容避難所、一時避難所,1800,34.697697,135.470193
3,27103,海老江東小学校,大阪府大阪市福島区海老江1-6-19,収容避難所、一時避難所,1500,34.699114,135.475414
4,27103,吉野小学校,大阪府大阪市福島区吉野3-10-5,収容避難所、一時避難所,1500,34.69042,135.473081
5,27103,玉川小学校,大阪府大阪市福島区玉川2-13-16,収容避難所、一時避難所,1000,34.691892,135.480664
6,27103,鷺洲小学校,大阪府大阪市福島区鷺洲5-6-8,収容避難所、一時避難所,1200,34.698836,135.479109
7,27103,上福島小学校,大阪府大阪市福島区福島7-4-33,収容避難所、一時避難所,1300,34.69717,135.485108
8,27103,西野田工科高等学校,大阪府大阪市福島区大開2-17-62,収容避難所、一時避難所,6000,34.693225,135.469526
9,27103,大開小学校,大阪府大阪市福島区大開2-10-28,収容避難所、一時避難所,650,34.692587,135.470609
10,27103,八阪中学校,大阪府大阪市福島区鷺洲6-1-13,収容避難所、一時避難所,1000,34.700891,135.47797
11,27103,福島小学校,大阪府大阪市福島区福島4-5-6,収容避難所、一時避難所,1200,34.693448,135.483525
12,27103,野田小学校,大阪府大阪市福島区野田5-13-22,収容避難所、一時避難所,1450,34.686365,135.473609
13,27103,野田中学校,大阪府大阪市福島区吉野5-9-4,収容避難所、一時避難所,400,34.687226,135.468915
14,27104,もと・此花総合高等学校,大阪府大阪市此花区酉島2-3-16,収容避難所、一時避難所,5900,34.685559,135.443529
15,27104,高見小学校,大阪府大阪市此花区高見1-3-35,収容避難所、一時避難所,3900,34.690615,135.460388
16,27104,此花中学校,大阪府大阪市此花区高見2-14-31,収容避難所、一時避難所,5400,34.690003,135.455416
17,27104,四貫島小学校,大阪府大阪市此花区四貫島2-16-29,収容避難所、一時避難所,2500,34.685143,135.454278
18,27104,春日出小学校,大阪府大阪市此花区春日出中1-13-23,収容避難所、一時避難所,4200,34.680477,135.452528
19,27104,春日出中学校,大阪府大阪市此花区春日出南1-2-8,収容避難所、一時避難所,1000,34.678727,135.457694
20,27104,西九条小学校,大阪府大阪市此花区西九条4-3-41,収容避難所、一時避難所,2500,34.682477,135.464693
21,27104,伝法小学校,大阪府大阪市此花区伝法3-13-10,収容避難所、一時避難所,3400,34.690392,135.451639
22,27104,酉島小学校,大阪府大阪市此花区酉島2-5-12,収容避難所、一時避難所,4700,34.685476,135.442279
23,27104,梅香小学校,大阪府大阪市此花区梅香3-17-29,収容避難所、一時避難所,3100,34.682365,135.45525
24,27104,梅香中学校,大阪府大阪市此花区春日出北3-12-24,収容避難所、一時避難所,3500,34.681587,135.445584
25,27104,淀之水学院,大阪府大阪市此花区朝日1-1-9,収容避難所、一時避難所,2000,34.685087,135.461916
26,27106,花乃井中学校,大阪府大阪市西区江戸堀2-8-29,収容避難所、一時避難所,1389,34.686421,135.489052
27,27106,九条北小学校,大阪府大阪市西区九条南4-7-38,収容避難所、一時避難所,2475,34.676505,135.468249
28,27106,西船場小学校,大阪府大阪市西区江戸堀1-21-28,収容避難所、一時避難所,1750,34.688393,135.493719
29,27106,堀江小学校,大阪府大阪市西区北堀江3-2-16,収容避難所、一時避難所,2200,34.674034,135.489886
30,27106,堀江中学校,大阪府大阪市西区南堀江3-5-7,収容避難所、一時避難所,1300,34.670645,135.489664
31,27106,明治小学校,大阪府大阪市西区阿波座2-3-35,収容避難所、一時避難所,1200,34.680255,135.491497
32,27106,靱幼稚園,大阪府大阪市西区靱本町1-19-13,収容避難所、一時避難所,300,34.683977,135.49408
33,27107,磯路小学校,大阪府大阪市港区磯路3-7-7,収容避難所、一時避難所,3210,34.665034,135.456389
34,27107,港区民センター,大阪府大阪市港区弁天2-1-5,収容避難所、一時避難所,360,34.66774,135.458856
35,27107,港高等学校,大阪府大阪市港区波除2-3-1,収容避難所、一時避難所,7290,34.671061,135.465416
36,27107,港南中学校,大阪府大阪市港区三先1-5-28,収容避難所、一時避難所,7230,34.659951,135.457028
37,27107,市岡高等学校,大阪府大阪市港区市岡元町2-12-12,収容避難所、一時避難所,10000,34.66759,135.466166
38,27107,市岡商業高等学校,大阪府大阪市港区弁天1-5-23,収容避難所、一時避難所,8000,34.669367,135.4585
39,27107,市岡小学校,大阪府大阪市港区市岡3-2-24,収容避難所、一時避難所,2130,34.663562,135.464555
40,27107,市岡中学校,大阪府大阪市港区磯路1-5-21,収容避難所、一時避難所,7760,34.667006,135.46175
41,27107,市岡東中学校,大阪府大阪市港区市岡元町3-2-18,収容避難所、一時避難所,4000,34.667062,135.464972
42,27107,南市岡小学校,大阪府大阪市港区南市岡2-6-35,収容避難所、一時避難所,3620,34.665284,135.468499
43,27107,波除小学校,大阪府大阪市港区波除3-6-8,収容避難所、一時避難所,3590,34.671894,135.462416
44,27107,弁天小学校,大阪府大阪市港区弁天2-9-35,収容避難所、一時避難所,7490,34.668589,135.455584
45,27108,三軒家西小学校,大阪府大阪市大正区三軒家西1-20-26,収容避難所、一時避難所,2500,34.66484,135.476943
46,27108,三軒家東小学校,大阪府大阪市大正区三軒家東2-12-63,収容避難所、一時避難所,4000,34.660285,135.479332
47,27108,泉尾工業高等学校,大阪府大阪市大正区泉尾5-16-7,収容避難所、一時避難所,6114,34.65523,135.468
48,27108,泉尾高等学校,大阪府大阪市大正区泉尾3-19-50,収容避難所、一時避難所,7700,34.658869,135.470749
49,27108,泉尾東小学校,大阪府大阪市大正区千島1-16-16,収容避難所、一時避難所,600,34.653786,135.474499
50,27108,泉尾北小学校,大阪府大阪市大正区泉尾2-21-24,収容避難所、一時避難所,468,34.660257,135.47061
51,27108,大正高等学校,大阪府大阪市大正区泉尾7-11-20,収容避難所、一時避難所,9344,34.657008,135.466528
52,27108,大正東中学校,大阪府大阪市大正区三軒家東4-4-30,収容避難所、一時避難所,7155,34.662174,135.477443
53,27108,大正北中学校,大阪府大阪市大正区北村3-1-1,収容避難所、一時避難所,6905,34.64987,135.468833
54,27108,中泉尾小学校,大阪府大阪市大正区泉尾3-23-34,収容避難所、一時避難所,1000,34.659563,135.469694
55,27108,北恩加島小学校,大阪府大阪市大正区泉尾5-17-31,収容避難所、一時避難所,2450,34.654369,135.468472
56,27111,栄小学校,大阪府大阪市浪速区木津川2-3-30,収容避難所、一時避難所,3000,34.658674,135.483915
57,27111,塩草小学校,大阪府大阪市浪速区塩草1-4-31,収容避難所、一時避難所,1350,34.661119,135.490414
58,27111,恵美小学校,大阪府大阪市浪速区恵美須西2-13-9,収容避難所、一時避難所,3240,34.653203,135.502747
59,27111,今宮高等学校,大阪府大阪市浪速区戎本町2-7-39,収容避難所、一時避難所,6000,34.652064,135.499052
60,27111,大国小学校,大阪府大阪市浪速区大国1-9-3,収容避難所、一時避難所,500,34.653453,135.496719
61,27111,難波元町小学校,大阪府大阪市浪速区元町1-5-30,収容避難所、一時避難所,1000,34.665118,135.497413
62,27111,難波中学校,大阪府大阪市浪速区塩草1-1-59,収容避難所、一時避難所,2200,34.66248,135.491136
63,27111,日東小学校,大阪府大阪市浪速区日本橋東3-1-23,収容避難所、一時避難所,1500,34.658091,135.508635
64,27111,日本橋小学校,大阪府大阪市浪速区日本橋3-2-27,収容避難所、一時避難所,2300,34.661952,135.507301
65,27111,日本橋中学校,大阪府大阪市浪速区日本橋西1-7-6,収容避難所、一時避難所,550,34.658508,135.504107
66,27111,敷津小学校,大阪府大阪市浪速区敷津東3-9-32,収容避難所、一時避難所,3320,34.656175,135.499052
67,27111,木津中学校,大阪府大阪市浪速区戎本町2-7-39,収容避難所、一時避難所,1000,34.653786,135.500413
68,27113,歌島小学校,大阪府大阪市西淀川区歌島2-5-18,収容避難所、一時避難所,3000,34.713945,135.461471
69,27113,歌島中学校,大阪府大阪市西淀川区歌島2-11-9,収容避難所、一時避難所,5000,34.715389,135.460415
70,27113,御幣島小学校,大阪府大阪市西淀川区御幣島3-5-5,収容避難所、一時避難所,5000,34.716948,135.4563429
71,27113,好文学園女子高等学校,大阪府大阪市西淀川区千舟3-8-22,収容避難所、一時避難所,5000,34.710195,135.448444
72,27113,香蓑小学校,大阪府大阪市西淀川区御幣島6-5-25,収容避難所、一時避難所,2400,34.720166,135.452666
73,27113,出来島小学校,大阪府大阪市西淀川区出来島2-2-24,収容避難所、一時避難所,2200,34.704029,135.437224
74,27113,西淀中学校,大阪府大阪市西淀川区姫島6-10-5,収容避難所、一時避難所,20000,34.702724,135.446278
75,27113,川北小学校,大阪府大阪市西淀川区中島1-11-20,収容避難所、一時避難所,2000,34.704251,135.429752
76,27113,大和田小学校,大阪府大阪市西淀川区大和田4-3-24,収容避難所、一時避難所,2000,34.70589,135.444973
77,27113,佃小学校,大阪府大阪市西淀川区佃1-21-12,収容避難所、一時避難所,3000,34.716583,135.446944
78,27113,佃西小学校,大阪府大阪市西淀川区佃2-15-30,収容避難所、一時避難所,2162,34.714472,135.444028
79,27113,佃南小学校,大阪府大阪市西淀川区佃5-12-12,収容避難所、一時避難所,5000,34.713417,135.435779
80,27113,柏里小学校,大阪府大阪市西淀川区柏里2-13-33,収容避難所、一時避難所,1000,34.710473,135.465804
81,27113,姫島小学校,大阪府大阪市西淀川区姫島1-10-4,収容避難所、一時避難所,1800,34.701669,135.455527
82,27113,姫里小学校,大阪府大阪市西淀川区姫里2-8-24,収容避難所、一時避難所,2000,34.70664,135.45836
83,27113,福小学校,大阪府大阪市西淀川区福町2-5-23,収容避難所、一時避難所,300,34.697919,135.441806
84,27113,野里小学校,大阪府大阪市西淀川区野里2-21-13,収容避難所、一時避難所,1600,34.711084,135.461027
85,27113,淀商業高等学校,大阪府大阪市西淀川区野里3-3-15,収容避難所、一時避難所,11155,34.710029,135.458499
86,27113,淀中学校,大阪府大阪市西淀川区大和田6-13-6,収容避難所、一時避難所,2500,34.70564,135.440306
87,27122,弘治小学校,大阪府大阪市西成区花園北2-16-26,収容避難所、一時避難所,1500,34.644176,135.496942
88,27122,今宮工科高等高校,大阪府大阪市西成区出城1-1-6,収容避難所、一時避難所,7500,34.650176,135.496275
89,27122,今宮小学校,大阪府大阪市西成区天下茶屋1-17-14,収容避難所、一時避難所,1500,34.641671,135.499877
90,27122,今宮中学校,大阪府大阪市西成区花園北1-8-32,収容避難所、一時避難所,10000,34.648815,135.498275
91,27122,山王集会所,大阪府大阪市西成区山王2-10-24,収容避難所、一時避難所,250,34.64596678,135.5053764
92,27122,市民交流センターにしなり,大阪府大阪市西成区長橋2-5-33,収容避難所,843,34.649223,135.490679
93,27122,松之宮小学校,大阪府大阪市西成区旭3-5-39,収容避難所、一時避難所,3000,34.645065,135.488443
94,27122,西成高等学校,大阪府大阪市西成区津守1-13-10,収容避難所、一時避難所,16800,34.647092,135.481999
95,27122,長橋小学校,大阪府大阪市西成区長橋2-3-21,収容避難所、一時避難所,3400,34.648065,135.492248
96,27122,鶴見橋中学校,大阪府大阪市西成区長橋3-9-23,収容避難所、一時避難所,9200,34.648537,135.486665
97,27122,萩之茶屋小学校,大阪府大阪市西成区萩之茶屋1-11-15,収容避難所、一時避難所,2100,34.647426,135.500497
98,27122,飛田ふれあい会館,大阪府大阪市西成区山王3-12-13,収容避難所、一時避難所,200,34.643874,135.504555
99,27122,北津守小学校,大阪府大阪市西成区北津守3-3-40,収容避難所、一時避難所,6000,34.651481,135.483443
100,27127,もと・扇町高等学校,大阪府大阪市北区中之島5-3-96,収容避難所、一時避難所,3100,34.691198,135.488913
101,27127,もと・大阪北小学校,大阪府大阪市北区曽根崎2-15-14,収容避難所、一時避難所,1800,34.701392,135.500912
102,27127,もと・梅田東小学校,大阪府大阪市北区茶屋町1-40,収容避難所、一時避難所,2150,34.70561644,135.5000985
103,27127,西天満小学校,大阪府大阪市北区西天満3-12-21,収容避難所、一時避難所,1250,34.69665629,135.5071661
104,27127,扇町小学校,大阪府大阪市北区扇町2-7,収容避難所、一時避難所,4700,34.70469119,135.5068639
105,27127,大淀中学校,大阪府大阪市北区大淀中2-1-11,収容避難所、一時避難所,6000,34.703669,135.486524
106,27127,天満中学校,大阪府大阪市北区神山町12-9,収容避難所、一時避難所,5500,34.703253,135.506662
107,27127,堂島地域集会所、堂島・中之島憩の家,大阪府大阪市北区堂島2-2-26,収容避難所,62,34.697114,135.494302
108,27128,河原会館,大阪府大阪市中央区難波千日前5-25,収容避難所,150,34.66401553,135.5046389
109,27128,開平小学校,大阪府大阪市中央区今橋1-5-7,収容避難所、一時避難所,1750,34.6905488,135.5083116
110,27128,高津小学校,大阪府大阪市中央区高津3-4-21,収容避難所、一時避難所,2270,34.665729,135.510912
111,27128,中央会館,大阪府大阪市中央区島之内2-12-31,収容避難所,217,34.671615,135.507935
112,27128,中央区民センター,大阪府大阪市中央区久太郎町1-2-27,収容避難所,314,34.681225,135.509687
113,27128,東商業高等学校,大阪府大阪市中央区久太郎町1-7-12,収容避難所、一時避難所,1522,34.680506,135.508051
114,27128,南小学校,大阪府大阪市中央区東心斎橋1-14-29,収容避難所、一時避難所,1054,34.673451,135.503829
115,27128,南中学校,大阪府大阪市中央区島之内1-10-23,収容避難所、一時避難所,5495,34.67414437,135.5085124
116,27128,南幼稚園,大阪府大阪市中央区南船場3-2-19,収容避難所、一時避難所,72,34.676978,135.502496
117,28101,東灘小学校,神戸市東灘区深江北町2-4-1,緊急避難場所,1160,34.7248161,135.2944292
118,28101,本庄小学校,神戸市東灘区青木4-4-1,緊急避難場所,1160,34.7211525,135.2888714
119,28101,本庄中学校,神戸市東灘区青木4-4-2,緊急避難場所,1186,34.7203025,135.2875439
120,28101,神戸大学海事科学部,神戸市東灘区深江南町5-1-1,緊急避難場所,192,34.7187444,135.2883578
121,28101,魚崎小学校,神戸市東灘区魚崎中町4-10-8,緊急避難場所,1160,34.714966,135.271257
122,28101,灘中・高校,神戸市東灘区魚崎北町8-5-1,緊急避難場所,943,34.7191636,135.2684539
123,28101,本山第一小学校,神戸市東灘区本山北町3-10-1,緊急避難場所,1160,34.7289433,135.2789056
124,28101,甲南女子中・高校,神戸市東灘区森北町5-6-1,緊急避難場所,943,34.7349206,135.2917292
125,28101,甲南女子大学,神戸市東灘区森北町6-2-23,緊急避難場所,192,34.734802,135.287471
126,28101,神戸薬科大学,神戸市東灘区本山北町4-19-1,緊急避難場所,192,34.733115,135.2832689
127,28101,本山第二小学校,神戸市東灘区西岡本1-3-1,緊急避難場所,1160,34.7253269,135.2695758
128,28101,本山中学校,神戸市東灘区岡本3-3-1,緊急避難場所,1186,34.7256325,135.2709397
129,28101,甲南大学,神戸市東灘区岡本8-9-1,緊急避難場所,192,34.729734,135.2679925
130,28101,本山第三小学校,神戸市東灘区本山中町1-2-35,緊急避難場所,1160,34.7280906,135.2864103
131,28101,住吉小学校,神戸市東灘区住吉東町4-1-31,緊急避難場所,1160,34.7175747,135.264485
132,28101,友生支援学校住吉分校,神戸市東灘区住吉東町4-1-58,緊急避難場所,192,34.7170611,135.2655489
133,28101,住之江公民館,神戸市東灘区住吉宮町2-2-3,緊急避難場所,192,34.7139751,135.2636564
134,28101,住之江公民館別館,神戸市東灘区住吉宮町2-1-3,緊急避難場所,192,34.7143023,135.2646774
135,28101,呉田会館,神戸市東灘区住吉南町4-6-23,緊急避難場所,192,34.7107873,135.2624866
136,28101,御影小学校,神戸市東灘区御影石町3-1-1,緊急避難場所,1160,34.7148111,135.2515083
137,28101,御影高校,神戸市東灘区御影石町4-1-1,緊急避難場所,943,34.7169608,135.250575
138,28101,御影公会堂,神戸市東灘区御影石町4-4-1,緊急避難場所,192,34.7160708,135.2492512
139,28101,御影北小学校,神戸市東灘区御影山手1-12-1,緊急避難場所,1160,34.7246294,135.2488056
140,28101,福池小学校,神戸市東灘区本山南町4-4-28,緊急避難場所,1160,34.7212831,135.2787669
141,28101,本山南小学校,神戸市東灘区本山南町8-2-1,緊急避難場所,1160,34.7235717,135.2824636
142,28101,神戸大学白鴎寮,神戸市東灘区本山南町1-4-50,緊急避難場所,192,34.7235202,135.2876408
143,28101,甲南小学校,神戸市東灘区住吉本町1-12-1,緊急避難場所,1160,34.7222717,135.2639961
144,28101,本山南中学校,神戸市東灘区田中町4-12-1,緊急避難場所,1186,34.7231161,135.2705342
145,28101,住吉中学校,神戸市東灘区住吉山手1-11-1,緊急避難場所,1186,34.7258628,135.2587214
146,28101,御影中学校,神戸市東灘区御影中町5-1-1,緊急避難場所,1186,34.7159417,135.2535331
147,28101,魚崎中学校,神戸市東灘区魚崎南町1-2-1,緊急避難場所,1186,34.71312,135.2790506
148,28101,東灘体育館,神戸市東灘区魚崎南町6-5-11,緊急避難場所,192,34.714666,135.278116
149,28102,成徳小学校,神戸市灘区備後町1-3-1,緊急避難場所,1160,34.7156136,135.2422119
150,28102,西郷小学校,神戸市灘区大石東町6-2-1,緊急避難場所,1160,34.7069712,135.232752
151,28102,六甲小学校,神戸市灘区八幡町4-4-1,緊急避難場所,1160,34.7176856,135.2333847
152,28102,福住小学校,神戸市灘区福住通7-1-1,緊急避難場所,1160,34.7131542,135.2184924
153,28102,西灘小学校,神戸市灘区船寺通3-4-1,緊急避難場所,1160,34.7078003,135.2277828
154,28102,原田中学校,神戸市灘区船寺通2-4-1,緊急避難場所,1186,34.707957,135.228747
155,28102,稗田小学校,神戸市灘区岸地通4-2-1,緊急避難場所,1160,34.7113389,135.2224081
156,28102,灘小学校,神戸市灘区千旦通1-5-1,緊急避難場所,1160,34.7132556,135.2325461
157,28102,鷹匠中学校,神戸市灘区高徳町2-2-19,緊急避難場所,1186,34.7201547,135.2438533
158,28102,烏帽子中学校,神戸市灘区烏帽子町1-2-1,緊急避難場所,1186,34.710672,135.2376273
159,28105,兵庫大開小学校,神戸市兵庫区大開通4-1-39,緊急避難場所,1160,34.67367,135.1663192
160,28105,水木小学絞,神戸市兵庫区水木通9-1-8,緊急避難場所,192,34.6703563,135.1594761
161,28105,兵庫中学校,神戸市兵庫区永沢町4-3-36,緊急避難場所,1186,34.6736533,135.169955
162,28105,明親小学校,神戸市兵庫区須佐野通4-1-19,緊急避難場所,1160,34.6651625,135.1661081
163,28105,須佐野中学絞,神戸市兵庫区松原通1-1-44,緊急避難場所,192,34.66446,135.1697442
164,28105,浜山小学校,神戸市兵庫区材木町4-2,緊急避難場所,1160,34.6577497,135.1662009
165,28106,長田公民館,神戸市長田区四番町4-51,緊急避難場所,192,34.6697571,135.1545541
166,28106,蓮池小学校,神戸市長田区大谷町1-1-10,緊急避難場所,1160,34.662435,135.1432128
167,28106,御蔵小学校,神戸市長田区一番町4-1,緊急避難場所,1160,34.6663688,135.1550418
168,28106,真野小学校,神戸市長田区苅藻通3-4-32,緊急避難場所,1160,34.6570313,135.1540769
169,28106,長田中学校,神戸市長田区真野町8-1,緊急避難場所,1186,34.6614128,135.1531092
170,28106,長田南小学校,神戸市長田区神楽町1-3-1,緊急避難場所,1160,34.6618374,135.1498543
171,28106,駒ヶ林中学校,神戸市長田区若松町7-1-23,緊急避難場所,1186,34.6551358,135.1434603
172,28106,真陽小学校,神戸市長田区二葉町1-5-5,緊急避難場所,1160,34.6555025,135.1512872
173,28106,ふたば学舎（地域人材支援センター）,神戸市長田区二葉町7-1-18,緊急避難場所,192,34.6517707,135.146261
174,28106,駒ケ林小学校,神戸市長田区野田町6-1-16,緊急避難場所,1160,34.6500314,135.1414645
175,28107,若宮小学校,神戸市須磨区若宮町2-1-21,緊急避難場所,1160,34.6463436,135.1314996
176,28107,鷹取中学校,神戸市須磨区青葉町3-1-1,緊急避難場所,1186,34.6479475,135.1326031
177,28107,南須磨公民館,神戸市須磨区青葉町2-2-3,緊急避難場所,192,34.6488167,135.1333241
178,28107,西須磨小学校,神戸市須磨区行幸町3-4-18,緊急避難場所,1160,34.6466586,135.1204206
